
请在下面加上你的昵称和Title，或者联系方式什么都行，注意一人一行哦：
﻿
KevinLi         Tower设计师  微博： @李凯文-KevinLi
xiaodong        产品经理，设计师，开发初学者
Laugher         想学设计的计算机系学生
torizhao        UX设计在读
olymax          打酱油的伪设计师和程序员
Shawn           UI设计师
EricTao         顺丰快递员；工号401287
XerPhong        游戏动效设计师
ToryLee         前端工程师
今日立冬          网页、UI设计师
zhongerxin      网页设计师  QQ：490456111
kingsir         设计师
wedaren         工业设计
wzmin           App运营
NeilZeng        UX酱油师 （Tower我用过哦，不过收费了就没用了）
leader4         学生 工业设计
Vince           前端设计
ZeonWang        玩具设计
Barry233        转行做UI的菜鸟T T
dreamyworm      设计师●伪
Audrey-Han      设计师
Mark            硬件攻城狮正在学习做程序猿
com             前端
ajason          UI,UE Designer
Jurassic        学生
jack            卖菜的
sunnist         product desgin；weibo @sunnist-wanyan
yiqueen         产品设计
Exion           学生一枚
phoebe          UI设计师
lcyan           WEB设计
Allison         UI设计
zhudage         web前端设计师
remgoo          我是程序员，hello设计师们
xiaoDC          想学习前端的后端程序员
xiao2yah        UE/UX
Jovid           攻城师前传
是大叔的客户
LeaDone         java工程师
mudanlin8       设计师。。
Pyhoooo         胡思乱想
JellyDai        Oracle设计师
chisifang       学生+Java程序猿+chisifang@163.com



